,Term,ID,Subject,Catalog,Session,Location,Final_Letter,Final_Numeric,SPE_Letter,SPE_Numeric,NBME_Letter,NBME_Numeric,OSCE_Letter,OSCE_Numeric,Final_Letter2,SPE_Letter2,NBME_Letter2,OSCE_Letter2
58,5401,1898,ME,300B,3C5,Falmouth Hospital,HH,3.71,High Honors,3.89,Honors,3.1,High Honors,3.5,High Honors,High Honors,Honors,High Honors
59,5400,1892,PS,300,S1A,UMMHC-C/L,H,88,Honors,88,Honors,86,Honors,86,Honors,Honors,Honors,Honors
60,5400,1892,FC,300,S1B,Worcester Area South,H,92.86,High Honors,42.93,Pass,16.2,High Honors,18.73,Honors,High Honors,Pass,High Honors
61,5400,1892,PE,300,S1C,UMMHC-University Campus,H,3.35,High Honors,3.5,Honors,84,Honors,87,Honors,High Honors,Honors,Honors
62,5401,1892,OB,300,S3C,UMMHC-Memorial Campus,H,87,High Honors,43,Pass,7,Honors,22,Honors,High Honors,Pass,Honors
63,5400,1892,NU,302,2A4,Saint Vincent Hospital Massachusetts,H,84.35,Honors,3.55,Honors,77,Honors,80,Honors,Honors,Honors,Honors
64,5400,1892,ME,300B,2B5,Milford Regional Medical Center,H,3.33,Honors,3.44,Pass,2.2,High Honors,3.5,Honors,Honors,Pass,High Honors
65,5401,1892,SU,300,3A5,UMMHC-Memorial MIS,H,3.2,High Honors,3.97,Pass,68,Honors,70,Honors,High Honors,Pass,Honors
66,5202,1735,NU,302,1A4,Lahey Hospital & Medical Center,P,71.8,Honors,3,Pass,64,Pass,12,Pass,Honors,Pass,Pass
67,5202,1735,ME,300B,1C5,UMMHC-Memorial Campus,H,3.06,Honors,3.38,Pass,2.1,Pass,2.5,Honors,Honors,Pass,Pass
68,4900,1178,SU,300,S1B,UMMHC-University & Memorial Campuses,HH,NA,High Honors,3.54,High Honors,83,High Honors,82,High Honors,High Honors,High Honors,High Honors
69,4900,1178,OB,300,S1C,UMMHC-Memorial Campus,HH,NA,High Honors,44,High Honors,15,Honors,22,High Honors,High Honors,High Honors,Honors
70,4901,1178,PE,300,S3A,UMMHC-University Campus,H,NA,Honors,3.18,NA,82,Honors,89,Honors,Honors,NA,Honors
71,4901,1178,PS,300,S3B,UMMHC-C/L,H,NA,NA,NA,High Honors,95,High Honors,93,Honors,NA,High Honors,High Honors
72,4901,1178,FC,300,S3C,Worcester Area North,HH,NA,High Honors,39.6,NA,13.77,High Honors,14.17,High Honors,High Honors,NA,High Honors
73,4900,1178,NU,302,2A4,Saint Vincent Hospital Massachusetts,HH,NA,Honors,3,High Honors,94,High Honors,20,High Honors,Honors,High Honors,High Honors
74,5000,1366,FC,300,S2A,Southeast Area,H,NA,Honors,32.56,NA,13.4,Honors,13.05,Honors,Honors,NA,Honors
75,5000,1366,PE,300,S2B,UMMHC-University Campus,H,NA,Honors,2.97,NA,78,Honors,87,Honors,Honors,NA,Honors
76,5000,1366,PS,300,S2C,Berkshire Medical Center,H,NA,NA,NA,Honors,86,Honors,83,Honors,NA,Honors,Honors
77,5001,1366,OB,300,S3A,UMMHC-Memorial Campus,H,NA,Honors,33,Honors,11,Honors,21,Honors,Honors,Honors,Honors
78,5000,1366,ME,300B,1A5,Saint Vincent Hospital Massachusetts,H,NA,Honors,3.28,Honors,2.7,Honors,3,Honors,Honors,Honors,Honors
79,5000,1366,NU,302,1B4,UMMHC-University Campus,H,NA,Honors,3.23,Honors,79,Pass,13,Honors,Honors,Honors,Pass
80,5100,1564,NU,302,S1A,Berkshire Medical Center,HH,NA,Honors,3.3,High Honors,90,High Honors,20,High Honors,Honors,High Honors,High Honors
81,5100,1564,ME,300B,S1C,Berkshire Medical Center,HH,NA,High Honors,3.78,High Honors,3.9,High Honors,4,High Honors,High Honors,High Honors,High Honors
82,5100,1564,PS,300,S2A,Berkshire Medical Center,HH,NA,High Honors,96,High Honors,97,High Honors,89,High Honors,High Honors,High Honors,High Honors
83,5100,1564,FC,300,S2B,Worcester Area South,HH,NA,High Honors,37.68,NA,14.6,High Honors,20,High Honors,High Honors,NA,High Honors
84,5100,1564,PE,300,S2C,Baystate Medical Center,HH,NA,Honors,3.18,NA,92,High Honors,91,High Honors,Honors,NA,High Honors
85,5101,1564,SU,300,S3A,Baystate Medical Center,HH,NA,High Honors,3.55,High Honors,90,High Honors,77,High Honors,High Honors,High Honors,High Honors
86,5101,1564,OB,300,S3B,Baystate Medical Center,H,NA,Honors,34,High Honors,15,Honors,22,Honors,Honors,High Honors,Honors
87,5300,1761,OB,300,S1A,Milford Regional Medical Center,H,86,High Honors,42,Honors,11,Pass,19,Honors,High Honors,Honors,Pass
88,5301,1761,PE,300,S3A,UMMHC-University Campus,HH,3.52,High Honors,3.61,Pass,77,High Honors,92,High Honors,High Honors,Pass,High Honors
89,5301,1761,FC,300,S3B,Worcester Area North,H,91.83,High Honors,43.34,Honors,17.8,Honors,16.79,Honors,High Honors,Honors,Honors
90,5301,1761,PS,300,S3C,UMMHC-C/L,HH,92,High Honors,94,Honors,87,High Honors,94,High Honors,High Honors,Honors,High Honors
91,5300,1761,SU,300,1C5,Cape Cod Hospital,HH,3.6,High Honors,3.9,Honors,79,High Honors,76,High Honors,High Honors,Honors,High Honors
92,5300,1761,ME,300B,2B5,Saint Vincent Hospital Massachusetts,H,3.38,High Honors,3.58,Pass,2.7,Honors,3,Honors,High Honors,Pass,Honors
93,5300,1761,NU,302,2C3,Milford Regional Medical Center,H,93,High Honors,3.79,Honors,83,Honors,18,Honors,High Honors,Honors,Honors
94,5300,1721,PE,300,S1A,UMMHC-University Campus,HH,3.52,Honors,3.38,Honors,83,High Honors,92,High Honors,Honors,Honors,High Honors
95,5200,1721,PS,300,S1B,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,96,Honors,86,High Honors,89,High Honors,High Honors,Honors,High Honors
96,5200,1721,FC,300,S1C,Worcester Area North,HH,NA,High Honors,44.57,Honors,17.38,Honors,17.19,High Honors,High Honors,Honors,Honors
97,5200,1721,OB,300,S2A,UMMHC-Memorial Campus,H,NA,Honors,36,Honors,11,Honors,22,Honors,Honors,Honors,Honors
98,5200,1721,SU,300,2B5,Cape Cod Hospital,H,NA,Honors,3.38,Honors,77,High Honors,76,Honors,Honors,Honors,High Honors
99,5201,1721,NU,302,3A4,Lahey Hospital & Medical Center,H,NA,Honors,3.46,Pass,74,Honors,17,Honors,Honors,Pass,Honors
100,5201,1721,ME,300B,3C5,Falmouth Hospital,H,NA,High Honors,3.83,Pass,2.7,Honors,3,Honors,High Honors,Pass,Honors
101,4900,1132,SU,300,S1C,Milford Regional Medical Center,P,NA,Honors,2.99,Pass,70,Pass,69,Pass,Honors,Pass,Pass
102,5000,1132,OB,300,S2A,Milford Regional Medical Center,H,NA,High Honors,44,Pass,7,Honors,22,Honors,High Honors,Pass,Honors
103,4901,1132,PE,300,S3A,UMMHC-University Campus,H,NA,Honors,3.43,NA,73,Honors,89,Honors,Honors,NA,Honors
104,4901,1132,PS,300,S3B,Worcester Recovery Center and Hospital - Adolescent Unit,P,NA,NA,NA,Pass,81,Honors,85,Pass,NA,Pass,Honors
105,4901,1132,FC,300,S3C,Boston Area,H,NA,Honors,33.64,NA,13.16,Honors,12.21,Honors,Honors,NA,Honors
106,4900,1132,NU,302,2C3,Holyoke Health Center,P,NA,Honors,3.44,Pass,74,Pass,10,Pass,Honors,Pass,Pass
107,5100,1563,PS,300,S1A,Cape Cod Hospital,H,NA,High Honors,93,Pass,78,Honors,82,Honors,High Honors,Pass,Honors
108,5102,1563,OB,300,S1A,Saint Vincent Hospital Massachusetts,P,NA,Honors,39,Pass,7,Pass,19,Pass,Honors,Pass,Pass
109,5100,1563,FC,300,S1B,Worcester Area North,P,NA,Honors,32.56,NA,11.76,Pass,15.02,Pass,Honors,NA,Pass
110,5100,1563,PE,300,S1C,UMMHC-University Campus,P,NA,Pass,2.03,NA,81,Pass,73,Pass,Pass,NA,Pass
111,5100,1563,NU,302,S2A,Saint Vincent Hospital Massachusetts,P,NA,Honors,3,Pass,63,Pass,10,Pass,Honors,Pass,Pass
112,5100,1563,ME,300B,S2C,Milford Regional Medical Center,H,NA,High Honors,3.71,Pass,2,Pass,2,Honors,High Honors,Pass,Pass
113,5101,1563,SU,300,S3B,Cape Cod Hospital,H,NA,High Honors,3.85,Pass,68,Honors,71,Honors,High Honors,Pass,Honors
114,4900,1108,PE,300,S1A,UMMHC-University Campus,H,NA,Honors,3.23,NA,82,Pass,83,Honors,Honors,NA,Pass
115,4900,1108,FC,300,S1B,Worcester Area South,H,NA,High Honors,38.48,NA,13.2,Honors,13.18,Honors,High Honors,NA,Honors
116,4900,1108,PS,300,S1C,Worcester Recovery Center and Hospital - Adult Unit,H,NA,NA,NA,Honors,86,Honors,83,Honors,NA,Honors,Honors
117,4900,1108,SU,300,S2B,UMMHC-University & Memorial Campuses,H,NA,High Honors,3.54,Pass,74,High Honors,79,Honors,High Honors,Pass,High Honors
118,4900,1108,OB,300,S2C,Cape Cod Hospital,HH,NA,High Honors,40,Honors,11,Honors,21,High Honors,High Honors,Honors,Honors
119,4901,1108,NU,302,3C3,UMMHC-University Campus,H,NA,Honors,3.42,Honors,81,Honors,16,Honors,Honors,Honors,Honors
120,5300,1253,OB,300,S2B,Saint Vincent Hospital Massachusetts,H,79,Honors,36,Pass,7,Honors,21,Honors,Honors,Pass,Honors
121,5301,1253,FC,300,S3A,Worcester Area South,H,91.39,High Honors,42.52,Honors,18,Honors,16.77,Honors,High Honors,Honors,Honors
122,5301,1253,PS,300,S3B,UMMHC-C/L,HH,89,High Honors,91,Pass,79,High Honors,95,High Honors,High Honors,Pass,High Honors
123,5301,1253,PE,300,S3C,UMMHC-University Campus,H,2.98,Honors,3.13,Pass,76,Honors,86,Honors,Honors,Pass,Honors
124,5300,1253,NU,302,1B3,Saint Vincent Hospital Massachusetts,H,81.5,Honors,3.36,Honors,77,Pass,14,Honors,Honors,Honors,Pass
125,5300,1253,ME,300B,1C5,Saint Vincent Hospital Massachusetts,H,3,Honors,3.25,Pass,2.1,Pass,2.5,Honors,Honors,Pass,Pass
126,5300,1253,SU,300,2A5,Cape Cod Hospital,H,2.8,Honors,3.4,Honors,76,Honors,74,Honors,Honors,Honors,Honors
127,5100,1531,SU,300,S1B,UMMHC-Memorial Colorectal,H,NA,Honors,3.45,Pass,72,Honors,71,Honors,Honors,Pass,Honors
128,5100,1531,OB,300,S1C,UMMHC-Memorial Campus,HH,NA,High Honors,45,Honors,11,Honors,22,High Honors,High Honors,Honors,Honors
129,5100,1531,FC,300,S2A,Worcester Area North,HH,NA,High Honors,39.68,NA,14,Honors,16.56,High Honors,High Honors,NA,Honors
130,5100,1531,PS,300,S2B,TaraVista Behavioral Health Center,H,NA,High Honors,94,Honors,84,Honors,84,Honors,High Honors,Honors,Honors
131,5100,1531,PE,300,S2C,UMMHC-University Campus,H,NA,Honors,3.21,NA,69,Honors,87,Honors,Honors,NA,Honors
132,5101,1531,NU,302,S3A,Baystate Medical Center,P,NA,Honors,3.33,Honors,80,Pass,10,Pass,Honors,Honors,Pass
133,5101,1531,ME,300B,S3C,Berkshire Medical Center,HH,NA,High Honors,3.65,High Honors,3.5,High Honors,4,High Honors,High Honors,High Honors,High Honors
134,5200,1618,OB,300,S1B,UMMHC-Memorial Campus,HH,NA,High Honors,41,High Honors,15,Honors,20,High Honors,High Honors,High Honors,Honors
135,5200,1618,PS,300,S2A,Hospital for Behavioral Medicine,H,NA,Honors,82,High Honors,93,Pass,79,Honors,Honors,High Honors,Pass
136,5200,1618,PE,300,S2B,UMMHC-University Campus,HH,NA,Honors,3.36,High Honors,87,High Honors,91,High Honors,Honors,High Honors,High Honors
137,5200,1618,FC,300,S2C,Worcester Area South,HH,NA,High Honors,43.34,Honors,18.15,High Honors,18.75,High Honors,High Honors,Honors,High Honors
138,5200,1618,SU,300,1A5,UMMHC-Memorial Colorectal,H,NA,High Honors,3.56,Pass,76,Honors,70,Honors,High Honors,Pass,Honors
139,5201,1618,ME,300B,3A5,UMMHC-Marlborough Hospital,HH,NA,High Honors,3.51,High Honors,4,High Honors,4,High Honors,High Honors,High Honors,High Honors
140,5201,1618,NU,302,3C3,UMMHC-University Campus,HH,NA,High Honors,3.73,High Honors,91,Honors,16,High Honors,High Honors,High Honors,Honors
141,5300,1747,OB,300,S1A,Cape Cod Hospital,H,84,Honors,37,Honors,11,HIGH HONORS,23,Honors,Honors,Honors,High Honors
142,5301,1747,FC,300,S3A,Worcester Area North,HH,96.16,High Honors,44.57,Honors,18.2,High Honors,18.39,High Honors,High Honors,Honors,High Honors
143,5301,1747,PE,300,S3B,UMMHC-University Campus,HH,3.65,High Honors,3.66,Pass,81,High Honors,90,High Honors,High Honors,Pass,High Honors
144,5301,1747,PS,300,S3C,UMMHC-8 East,H,92,High Honors,99,Honors,87,Honors,86,Honors,High Honors,Honors,Honors
145,5300,1747,SU,300,1C5,Cape Cod Hospital,H,3.4,High Honors,3.5,Honors,76,Honors,72,Honors,High Honors,Honors,Honors
146,5300,1747,ME,300B,2A5,Falmouth Hospital,H,3.42,High Honors,3.66,Pass,2.9,Honors,3,Honors,High Honors,Pass,Honors
147,5300,1747,NU,302,2B3,UMMHC-University Campus,H,85,High Honors,3.72,Honors,84,Pass,12,Honors,High Honors,Honors,Pass
148,5002,1296,PE,300,S1A,UMMHC-University Campus,H,NA,Honors,3.21,NA,86,Honors,85,Honors,Honors,NA,Honors
149,5000,1296,PS,300,S1B,Cape Cod Hospital,H,NA,NA,NA,Honors,84,Honors,89,Honors,NA,Honors,Honors
150,5000,1296,FC,300,S1C,Worcester Area North,H,NA,Honors,35.28,NA,12.73,Pass,11.04,Honors,Honors,NA,Pass
151,5001,1296,OB,300,S3C,Saint Vincent Hospital Massachusetts,S,NA,NA,NA,Satisfactory,14,Satisfactory,24,Satisfactory,NA,Satisfactory,Satisfactory
152,5000,1296,NU,302,2A4,Berkshire Medical Center,H,NA,High Honors,3.58,Pass,72,Pass,10,Honors,High Honors,Pass,Pass
153,5000,1296,ME,300B,2B5,UMMHC-Marlborough Hospital,H,NA,Honors,3.38,Pass,2.9,Pass,2,Honors,Honors,Pass,Pass
154,5001,1296,SU,300,3B5,Cape Cod Hospital,H,NA,High Honors,3.82,Pass,71,Pass,76,Honors,High Honors,Pass,Pass
155,5400,1870,OB,300,S2B,UMMHC-Memorial Campus,H,83,Honors,39,Pass,7,Honors,22,Honors,Honors,Pass,Honors
156,5401,1870,FC,300,S3A,Middlesex County,HH,95.66,High Honors,43.75,High Honors,18.8,High Honors,18.71,High Honors,High Honors,High Honors,High Honors
157,5401,1870,PE,300,S3B,Baystate Medical Center,HH,3.63,High Honors,3.68,Honors,83,High Honors,91,High Honors,High Honors,Honors,High Honors
158,5401,1870,PS,300,S3C,UMMHC-C/L,H,90,High Honors,91,Honors,85,Honors,86,Honors,High Honors,Honors,Honors
159,5400,1870,NU,302,1A4,UMMHC-University Campus,H,90.6,High Honors,3.88,Honors,82,High Honors,85,Honors,High Honors,Honors,High Honors
160,5400,1870,ME,300B,1B5,UMMHC-Marlborough Hospital,H,3.6,High Honors,3.93,Honors,3.1,Honors,3,Honors,High Honors,Honors,Honors
161,5400,1870,SU,300,2C5,Cape Cod Hospital,H,3.4,High Honors,3.79,Honors,77,Honors,70,Honors,High Honors,Honors,Honors
162,5300,1653,FC,300,S1A,"Baystate Medical Center - Springfield, MA",H,93.08,High Honors,43.75,Honors,18.18,Honors,16.85,Honors,High Honors,Honors,Honors
163,5300,1653,PE,300,S1B,"Baystate Medical Center - Springfield, MA",HH,3.55,High Honors,3.5,Pass,80,High Honors,90,High Honors,High Honors,Pass,High Honors
164,5200,1653,PS,300,S1C,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,97,Honors,82,Honors,85,Honors,High Honors,Honors,Honors
165,5201,1653,OB,300,S3C,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,41,Pass,7,Honors,22,Honors,High Honors,Pass,Honors
166,5200,1653,NU,302,2A4,"Baystate Medical Center - Springfield, MA",P,NA,Honors,3.36,Honors,80,Pass,13,Pass,Honors,Honors,Pass
167,5200,1653,ME,300B,2C5,"Baystate Medical Center - Springfield, MA",HH,NA,High Honors,3.58,Honors,3.3,High Honors,3.5,High Honors,High Honors,Honors,High Honors
168,5201,1653,SU,300,3A5,"Baystate Medical Center - Springfield, MA",H,NA,High Honors,3.67,Pass,73,High Honors,80,Honors,High Honors,Pass,High Honors
169,5300,1536,OB,300,S1A,"Baystate Medical Center - Springfield, MA",H,82,High Honors,42,Pass,7,Pass,19,Honors,High Honors,Pass,Pass
170,5301,1536,FC,300,S3A,"Baystate Medical Center - Springfield, MA",H,91.25,High Honors,42.93,Pass,16.2,Honors,17.42,Honors,High Honors,Pass,Honors
171,5301,1536,PS,300,S3B,"Baystate Medical Center - Springfield, MA",H,88,Honors,86,Honors,82,High Honors,91,Honors,Honors,Honors,High Honors
172,5301,1536,PE,300,S3C,"Baystate Medical Center - Springfield, MA",H,3.45,High Honors,3.71,Pass,80,Honors,85,Honors,High Honors,Pass,Honors
173,5300,1536,SU,300,1B5,"Baystate Medical Center - Springfield, MA",H,2.8,High Honors,3.67,Pass,63,Pass,63,Honors,High Honors,Pass,Pass
174,5300,1536,ME,300B,2B5,"Baystate Medical Center - Springfield, MA",H,3.14,Honors,3.32,Pass,2,Honors,3,Honors,Honors,Pass,Honors
175,5300,1536,NU,302,2C3,"Baystate Medical Center - Springfield, MA",HH,95.4,High Honors,3.72,Honors,81,High Honors,20,High Honors,High Honors,Honors,High Honors
176,4900,1223,SU,300,S1B,UMMHC-University & Memorial Campuses,HH,NA,High Honors,3.5,High Honors,87,High Honors,76,High Honors,High Honors,High Honors,High Honors
177,4900,1223,OB,300,S1C,Berkshire Medical Center,H,NA,High Honors,43,Honors,11,Honors,22,Honors,High Honors,Honors,Honors
178,4901,1223,PS,300,S3A,Worcester Recovery Center and Hospital - Adult Unit,HH,NA,NA,NA,High Honors,91,High Honors,89,High Honors,NA,High Honors,High Honors
179,4901,1223,FC,300,S3B,Worcester Area North,H,NA,High Honors,39.28,NA,12.9,Honors,12.47,Honors,High Honors,NA,Honors
180,4901,1223,PE,300,S3C,Baystate Medical Center,HH,NA,High Honors,4,NA,84,High Honors,92,High Honors,High Honors,NA,High Honors
181,4900,1223,NU,302,2C3,UMMHC-University Campus,H,NA,Honors,3.125,High Honors,94,Honors,17,Honors,Honors,High Honors,Honors
182,5300,1741,OB,300,S1C,"Baystate Medical Center - Springfield, MA",HH,89,High Honors,43,Honors,11,Honors,21,High Honors,High Honors,Honors,Honors
183,5301,1741,FC,300,S3A,"Baystate Medical Center - Springfield, MA",H,91.61,High Honors,42.11,Honors,17.4,Honors,17.1,Honors,High Honors,Honors,Honors
184,5301,1741,PE,300,S3B,"Baystate Medical Center - Springfield, MA",H,3.37,High Honors,3.53,Pass,82,Honors,87,Honors,High Honors,Pass,Honors
185,5301,1741,PS,300,S3C,"Baystate Medical Center - Springfield, MA",HH,94,High Honors,99,Honors,81,High Honors,91,High Honors,High Honors,Honors,High Honors
