"","RecordNumber","DateReported","DateOccurred","TimeOccurred","GeographicAreaID","GeographicAreaName","GeographicSubAreaID","Part1_2","CrimeCode","CrimeCodeDesc","VictimAge","VictimSex","VictimEthnicity","CrimeSceneCode","CrimeSceneDesc","CaseStatus","CaseStatusDesc","CrimeCode1","CrimeCode2","AddressCrime","LatitudeCrime","LongitudeCrime","CriminalCharacteristicCodes","WeaponUsedCode","WeaponUsedDesc","CrossStreet","CrimeCode3"
"13","230204214",2023-01-05,2020-02-01,"800","2","Rampart","201","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","7","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","812","860","900 N  MARIPOSA                     AV","34.0868","-118.2991","1251 1258 0913 0400 0500 0522 1817","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"14","221008844",2022-05-06,2020-11-01,"130","10","West Valley","1029","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"VALJEAN                      ST","34.1939","-118.4859",NA,NA,NA,"VANOWEN                      AV",NA
"15","230312288",2023-06-01,2020-02-02,"315","3","Southwest","391","2","354","THEFT OF IDENTITY","56","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"4200    SANTO TOMAS                  DR","34.0103","-118.3456","0100 0928 0929 0935 1822",NA,NA,NA,NA
"16","231805781",2023-02-03,2020-07-01,"805","18","Southeast","1802","2","354","THEFT OF IDENTITY","22","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"400 W  90TH                         ST","33.9551","-118.2814","0928 1822",NA,NA,NA,NA
"17","231322474",2023-12-24,2020-01-09,"1200","13","Newton","1354","2","354","THEFT OF IDENTITY","23","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"4000    WALL                         ST","34.0112","-118.2716","0100",NA,NA,NA,NA
"18","210705560",2020-11-27,2020-11-27,"1800","7","Wilshire","776","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","31","F","O","101","STREET","AA","Adult Arrest","230",NA,"4500    LOMITA                       ST","34.0452","-118.3351","1309 0400","307","VEHICLE",NA,NA
"19","221016258",2022-09-20,2020-01-01,"1","10","West Valley","1067","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","30","F","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","956",NA,"5200    GENESTA                      AV","34.166","-118.5033","2041 1906 1822",NA,NA,NA,NA
"20","220705246",2022-02-03,2020-02-11,"1200","7","Wilshire","747","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","57","F","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","341",NA,"800 S  TREMAINE                     AV","34.0608","-118.3359",NA,NA,NA,NA,NA
"21","230808643",2023-04-25,2020-01-01,"800","8","West LA","801","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","56","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","341",NA,"16700    MONTE HERMOSO                DR","34.0677","-118.552","0352 1822 0344",NA,NA,NA,NA
"22","231907172",2023-03-21,2020-03-15,"1200","19","Mission","1983","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","12","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","812","860","8500    COLUMBUS                     AV","34.2246","-118.4654","1259 0913 1817 1801 0503","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"23","232011098",2023-06-04,2020-07-01,"1200","20","Olympic","2088","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","7","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","812","860","1700 S  WESTMORELAND                 AV","34.0433","-118.2892","1251 1258 0400 0522 0913 0551 2021","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"24","200412582",2020-09-09,2020-09-09,"630","4","Hollenbeck","413","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"200 E  AVENUE 28","34.082","-118.213",NA,NA,NA,NA,NA
"25","232112438",2023-08-03,2020-07-01,"1200","21","Topanga","2157","2","354","THEFT OF IDENTITY","46","M","B","751","WEBSITE","IC","Invest Cont","354",NA,"21000    VANOWEN                      ST","34.1938","-118.5906","1822 0929 0930",NA,NA,NA,NA
"26","221105176",2022-02-02,2020-02-09,"1200","11","Northeast","1132","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","30","F","W","501","SINGLE FAMILY DWELLING","AO","Adult Other","930",NA,"2800    WAVERLY                      DR","34.1084","-118.2639","1912 0913","500","UNKNOWN WEAPON/OTHER WEAPON",NA,NA
"27","222106031",2022-02-23,2020-08-14,"1300","21","Topanga","2113","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","0",NA,NA,"203","OTHER BUSINESS","IC","Invest Cont","668",NA,"7700    SAUSALITO                    AV","34.2105","-118.6157",NA,NA,NA,NA,NA
"28","200209713",2020-05-03,2020-05-02,"1800","2","Rampart","245","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"2500 W  4TH                          ST","34.0642","-118.2771",NA,NA,NA,NA,NA
"29","211209197",2021-03-20,2020-07-01,"1425","12","77th Street","1243","2","354","THEFT OF IDENTITY","51","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"1600 W  67TH                         ST","33.9785","-118.3068","0928",NA,NA,NA,NA
"30","220808837",2022-04-28,2020-03-30,"1630","8","West LA","842","2","624","BATTERY - SIMPLE ASSAULT","24","F","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","624",NA,"1200 S  WESTGATE                     AV","34.0474","-118.4635","2000 1813 0913 0416","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"31","231207725",2023-02-27,2020-01-27,"635","12","77th Street","1242","2","354","THEFT OF IDENTITY","37","M","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"6200    4TH                          AV","33.9837","-118.3216","0100 0917 1822",NA,NA,NA,NA
"32","231205231",2023-01-17,2020-01-01,"1535","12","77th Street","1268","2","354","THEFT OF IDENTITY","27","M","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"100 E  85TH                         ST","33.961","-118.2739","0100 0928",NA,NA,NA,NA
"33","231108757",2023-05-09,2020-05-08,"2023","11","Northeast","1101","1","330","BURGLARY FROM VEHICLE","20","M","A","108","PARKING LOT","IC","Invest Cont","330",NA,"2800 E  OBSERVATORY                  RD","34.1192","-118.3004","0344 1302 1307",NA,NA,NA,NA
"34","221404806",2022-01-19,2020-01-18,"1600","14","Pacific","1446","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0",NA,NA,"101","STREET","IC","Invest Cont","420",NA,"WASHINGTON                   PL","34.0022","-118.4255",NA,NA,NA,"INGLEWOOD",NA
"35","220215983",2022-09-06,2020-05-26,"1200","2","Rampart","233","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0",NA,NA,"101","STREET","IC","Invest Cont","420",NA,"200 S  CORONADO                     ST","34.0697","-118.2779",NA,NA,NA,NA,NA
"36","211220472",2021-09-27,2020-11-26,"2000","12","77th Street","1259","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","29","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","930",NA,"7800 S  SAN PEDRO                    ST","33.9679","-118.2695","0913 0400 0443 1814 2000","511","VERBAL THREAT",NA,NA
"37","211818877",2021-10-22,2020-03-10,"1500","18","Southeast","1801","2","354","THEFT OF IDENTITY","26","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"8700    ORCHARD                      AV","33.9587","-118.2882","0100 1822 0930 0922",NA,NA,NA,NA
"38","221515929",2022-10-10,2020-04-01,"1200","15","N Hollywood","1539","2","354","THEFT OF IDENTITY","33","M","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"5700    CARTWRIGHT                   AV","34.174","-118.3638","0377",NA,NA,NA,NA
"39","230406865",2023-03-28,2020-06-28,"1250","4","Hollenbeck","478","2","354","THEFT OF IDENTITY","34","F","B","504","OTHER RESIDENCE","IC","Invest Cont","354",NA,"3400    PERCY                        ST","34.0286","-118.1996","0100",NA,NA,NA,NA
"40","231915767",2023-10-25,2020-09-02,"1","19","Mission","1985","2","354","THEFT OF IDENTITY","15","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"8700    TOBIAS                       AV","34.228","-118.4517","0917",NA,NA,NA,NA
"41","221016530",2022-11-15,2020-10-23,"1735","10","West Valley","1045","2","354","THEFT OF IDENTITY","65","M","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"17900    EMELITA                      ST","34.1776","-118.523","1822 0935 1202",NA,NA,NA,NA
"42","231210407",2023-04-18,2020-01-01,"1","12","77th Street","1259","2","354","THEFT OF IDENTITY","59","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"700 E  73RD                         ST","33.9739","-118.263","0930 0929 0928 1822",NA,NA,NA,NA
"43","220208037",2022-03-30,2020-01-01,"800","2","Rampart","249","2","813","CHILD ANNOYING (17YRS & UNDER)","15","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","813",NA,"1100 W  6TH                          ST","34.0541","-118.2621","1822 0359 1251 1259",NA,NA,NA,NA
"44","221504294",2022-01-06,2020-10-30,"1","15","N Hollywood","1535","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","9","M","W","501","SINGLE FAMILY DWELLING","AA","Adult Arrest","812",NA,"5700    COLFAX                       AV","34.174","-118.3878","0522 0500 1258","500","UNKNOWN WEAPON/OTHER WEAPON",NA,NA
"45","221312369",2022-06-03,2020-12-10,"700","13","Newton","1333","2","354","THEFT OF IDENTITY","33","M","H","750","CYBERSPACE","IC","Invest Cont","354",NA,"2700 S  CENTRAL                      AV","34.0174","-118.2621","0100",NA,NA,NA,NA
"46","220911866",2022-07-26,2020-02-01,"505","9","Van Nuys","971","2","354","THEFT OF IDENTITY","34","F","W","605","AUTOMATED TELLER MACHINE (ATM)","IC","Invest Cont","354",NA,"15200    LA MAIDA                     ST","34.1585","-118.464","0922 0929 0923 0930",NA,NA,NA,NA
"47","231906599",2023-03-03,2020-01-14,"1335","19","Mission","1902","2","354","THEFT OF IDENTITY","35","M","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"14500    WILLOWGREEN                  LN","34.3194","-118.4518","0928",NA,NA,NA,NA
"48","220321807",2022-12-13,2020-05-17,"1620","3","Southwest","317","2","354","THEFT OF IDENTITY","50","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"1400 W  25TH                         ST","34.0337","-118.2915","0929 1822 0100 0930 0922",NA,NA,NA,NA
"49","221216052",2022-07-07,2020-02-23,"1000","12","77th Street","1256","2","354","THEFT OF IDENTITY","28","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"500 W  75TH                         ST","33.9717","-118.2827","0100",NA,NA,NA,NA
"50","220508440",2022-04-27,2020-07-07,"1200","5","Harbor","585","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","64","M","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","341",NA,"2300 S  MEYLER                       ST","33.7234","-118.2968","0344 1202 1606",NA,NA,NA,NA
"51","220213256",2022-07-14,2020-07-14,"900","2","Rampart","257","2","354","THEFT OF IDENTITY","79","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"1200 W  7TH                          ST","34.0552","-118.2675","0100 0928 1202",NA,NA,NA,NA
"52","221607555",2022-04-22,2020-08-01,"1200","16","Foothill","1612","2","354","THEFT OF IDENTITY","40","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"11100    HERRICK                      AV","34.2713","-118.415","0928",NA,NA,NA,NA
"53","221516944",2022-11-03,2020-06-01,"1200","15","N Hollywood","1517","2","354","THEFT OF IDENTITY","59","M","O","203","OTHER BUSINESS","IC","Invest Cont","354",NA,"6700    BAKMAN                       AV","34.1925","-118.3779","1817",NA,NA,NA,NA
"54","230617817",2023-11-14,2020-11-13,"2015","6","Hollywood","622","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0",NA,NA,"108","PARKING LOT","IC","Invest Cont","420",NA,"7200    FRANKLIN                     AV","34.1146","-118.3607",NA,NA,NA,NA,NA
"55","231115685",2023-11-12,2020-11-12,"1430","11","Northeast","1123","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","27","M","W","108","PARKING LOT","IC","Invest Cont","440",NA,"3300    GLENDALE                     BL","34.1142","-118.2652","0344",NA,NA,NA,NA
"56","231707687",2023-04-04,2020-05-08,"1845","17","Devonshire","1745","2","354","THEFT OF IDENTITY","44","M","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"17100    CHATSWORTH                   ST","34.2648","-118.5055","0917 0929",NA,NA,NA,NA
"57","230711357",2023-06-26,2020-01-01,"1","7","Wilshire","774","2","354","THEFT OF IDENTITY","32","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"4900 W  WASHINGTON                   BL","34.0431","-118.3482","1501",NA,NA,NA,NA
"58","220409258",2022-05-29,2020-03-29,"1315","4","Hollenbeck","467","2","354","THEFT OF IDENTITY","16","M","H","504","OTHER RESIDENCE","IC","Invest Cont","354",NA,"2600 E  4TH                          ST","34.0395","-118.2093","0100",NA,NA,NA,NA
"59","220119956",2022-09-06,2020-07-01,"1130","1","Central","162","2","354","THEFT OF IDENTITY","22","F","B","750","CYBERSPACE","IC","Invest Cont","354",NA,"800 S  HOPE                         ST","34.0466","-118.259","0928 1822",NA,NA,NA,NA
"60","240604173",2024-01-05,2020-07-09,"1230","6","Hollywood","637","2","354","THEFT OF IDENTITY","21","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"6200    HOLLYWOOD                    BL","34.103","-118.3225","0928",NA,NA,NA,NA
"61","220104934",2022-01-17,2020-12-20,"1730","1","Central","158","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","X","X","102","SIDEWALK","IC","Invest Cont","341",NA,"6TH                          ST","34.0403","-118.2421","1822 1414 0947 0344",NA,NA,"GLADYS                       AV",NA
"62","230817493",2023-11-27,2020-09-13,"2100","8","West LA","829","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","42","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","626",NA,"1700    COMSTOCK                     AV","34.0596","-118.4233","1814 0913 0400","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"63","221718084",2022-12-20,2020-12-02,"1510","17","Devonshire","1764","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","15","F","H","404","DEPARTMENT STORE","IC","Invest Cont","440",NA,"9300    TAMPA                        AV","34.244","-118.5583","0344",NA,NA,NA,NA
"64","221110929",2022-06-28,2020-06-27,"1945","11","Northeast","1113","1","330","BURGLARY FROM VEHICLE","34","F","W","108","PARKING LOT","IC","Invest Cont","330",NA,"2800    COLORADO                     BL","34.1428","-118.2261","0344",NA,NA,NA,NA
"65","231711735",2023-06-07,2020-09-02,"800","17","Devonshire","1775","2","354","THEFT OF IDENTITY","46","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"17400    NORDHOFF                     ST","34.2394","-118.5112","0929 1822",NA,NA,NA,NA
"66","231912127",2023-07-26,2020-01-26,"1735","19","Mission","1913","2","354","THEFT OF IDENTITY","46","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"14600    NURMI                        ST","34.307","-118.4521","0923",NA,NA,NA,NA
"67","231818830",2023-11-01,2020-01-01,"1","18","Southeast","1841","2","762","LEWD CONDUCT","6","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","762",NA,"500 W  108TH                        ST","33.9383","-118.2826","0913 0602 0360 0545 0536 0531 1258",NA,NA,NA,NA
"68","221710268",2022-06-21,2020-05-20,"600","17","Devonshire","1767","1","441","THEFT PLAIN - ATTEMPT","72","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","441",NA,"18600    PRAIRIE                      ST","34.2442","-118.5362","0352 0344 1202 2004 2021 0913 1817",NA,NA,NA,NA
"69","231007464",2023-03-30,2020-06-25,"1225","10","West Valley","1015","2","354","THEFT OF IDENTITY","28","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"7400    JAMIESON                     AV","34.2048","-118.5219","1822 0929",NA,NA,NA,NA
"70","221917823",2022-12-12,2020-04-05,"1550","19","Mission","1921","2","354","THEFT OF IDENTITY","23","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"15400    EL CAJON                     ST","34.3054","-118.4681",NA,NA,NA,NA,NA
"71","211404152",2021-01-04,2020-12-28,"1600","14","Pacific","1463","1","310","BURGLARY","44","F","H","221","PUBLIC STORAGE","IC","Invest Cont","310",NA,"12600 W  JEFFERSON                    BL","33.9788","-118.4151","0397 0344",NA,NA,NA,NA
"72","231205374",2023-01-25,2020-10-12,"1200","12","77th Street","1263","2","354","THEFT OF IDENTITY","35","M","B","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"8300 S  HARVARD                      BL","33.9636","-118.3068","0100 0930 1822",NA,NA,NA,NA
"73","231505589",2023-02-08,2020-09-01,"1200","15","N Hollywood","1557","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","10","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","812","860","10800    HORTENSE                     ST","34.1548","-118.3662","0400 0416","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"74","231420506",2023-11-06,2020-04-02,"1825","14","Pacific","1445","2","354","THEFT OF IDENTITY","60","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"12700    PACIFIC                      AV","33.9993","-118.4397","0928",NA,NA,NA,NA
"75","221508505",2022-04-20,2020-12-31,"1200","15","N Hollywood","1525","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0",NA,NA,"101","STREET","IC","Invest Cont","420",NA,"5900    CARPENTER                    AV","34.1776","-118.3889",NA,NA,NA,NA,NA
"76","231817823",2023-10-13,2020-08-23,"1","18","Southeast","1846","2","354","THEFT OF IDENTITY","32","F","H","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"1500 E  112TH                        ST","33.9332","-118.2485","1822 0100 0344",NA,NA,NA,NA
"77","231212586",2023-05-24,2020-06-03,"2150","12","77th Street","1241","2","354","THEFT OF IDENTITY","36","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"6400    8TH                          AV","33.9821","-118.3318","1822 0930 0929",NA,NA,NA,NA
"78","220309099",2022-04-14,2020-06-23,"1530","3","Southwest","311","2","354","THEFT OF IDENTITY","72","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"2600    CARMONA                      AV","34.0325","-118.3639","0100 0925 0930 1202 1822",NA,NA,NA,NA
"79","201810154",2020-04-26,2020-04-22,"1900","18","Southeast","1802","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"90TH","33.9547","-118.2717",NA,NA,NA,"WALL",NA
"80","221412410",2022-06-15,2020-11-12,"1700","14","Pacific","1444","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0",NA,NA,"101","STREET","IC","Invest Cont","420",NA,"13600    MARINA POINT                 DR","33.9876","-118.4489",NA,NA,NA,NA,NA
"81","211505284",2021-02-02,2020-12-27,"2000","15","N Hollywood","1585","1","330","BURGLARY FROM VEHICLE","18","F","H","707","GARAGE/CARPORT","IC","Invest Cont","330",NA,"10900    BLUFFSIDE                    DR","34.1412","-118.3681","1300 0344",NA,NA,NA,NA
"82","220209598",2022-04-25,2020-12-29,"800","2","Rampart","238","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","27","F","B","501","SINGLE FAMILY DWELLING","AO","Adult Other","956",NA,"1300    ANGELINA                     ST","34.0648","-118.2559","0913 1817 1906",NA,NA,NA,NA
"83","220316688",2022-09-12,2020-09-11,"2100","3","Southwest","357","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","27","F","O","101","STREET","IC","Invest Cont","331",NA,"1300 W  37TH                         DR","34.0191","-118.2977","0344 0385 1251 1300 1606 1822 0329 1309",NA,NA,NA,NA
"84","231814007",2023-07-27,2020-10-27,"915","18","Southeast","1849","2","354","THEFT OF IDENTITY","29","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","354",NA,"2200 E  111TH                        ST","33.9345","-118.2329","0928 1822",NA,NA,NA,NA
"85","222004619",2020-12-21,2020-12-20,"1529","20","Olympic","2069","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","63","M","K","702","OFFICE BUILDING/OFFICE","IC","Invest Cont","341",NA,"2500 W  OLYMPIC                      BL","34.0524","-118.2842","0344 1202 1822 2032",NA,NA,NA,NA
"86","220208989",2022-04-14,2020-04-14,"945","2","Rampart","256","2","354","THEFT OF IDENTITY","28","M","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"600 S  UNION                        AV","34.0565","-118.2724","0100",NA,NA,NA,NA
"87","221209581",2022-04-07,2020-01-01,"800","12","77th Street","1215","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","9","F","H","501","SINGLE FAMILY DWELLING","AO","Adult Other","812","860","5500 S  VERMONT                      AV","33.9921","-118.298","1258 0913 0602 0522 0556 0400","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",NA,NA
"88","220917870",2022-12-31,2020-03-16,"1025","9","Van Nuys","929","2","354","THEFT OF IDENTITY","41","F","O","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"6500    WOODMAN                      AV","34.1887","-118.4313","0100 0928 0344 1822",NA,NA,NA,NA
"89","221017007",2022-11-28,2020-04-23,"1","10","West Valley","1041","2","354","THEFT OF IDENTITY","44","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","354",NA,"6000    DONNA                        AV","34.1787","-118.5475","1822",NA,NA,NA,NA
"90","232112058",2023-07-25,2020-04-26,"2110","21","Topanga","2198","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","17","F","W","501","SINGLE FAMILY DWELLING","IC","Invest Cont","956",NA,"4500    CEZANNE                      AV","34.1484","-118.6033","1906",NA,NA,NA,NA
